polarity;category;term_target;start_end;sentence;cleaned_sentence;parsed_sentence;parsed_sentence_list;Spacy_parsed_list
95;neutral;LOCATION#GENERAL;view;47:51;The high prices you're going to pay is for the view not for the food.;high prices going pay view not food;[(('view', 'NN'), 'nsubj', ('prices', 'NNS')), (('prices', 'NNS'), 'det', ('The', 'DT')), (('prices', 'NNS'), 'amod', ('high', 'JJ')), (('prices', 'NNS'), 'acl:relcl', ('re', 'VBP')), (('re', 'VBP'), 'nsubj', ('you', 'PRP')), (('re', 'VBP'), 'xcomp', ('going', 'VBG')), (('going', 'VBG'), 'xcomp', ('pay', 'VB')), (('pay', 'VB'), 'mark', ('to', 'TO')), (('view', 'NN'), 'cop', ('is', 'VBZ')), (('view', 'NN'), 'case', ('for', 'IN')), (('view', 'NN'), 'det', ('the', 'DT')), (('view', 'NN'), 'nmod', ('food', 'NN')), (('food', 'NN'), 'neg', ('not', 'RB')), (('food', 'NN'), 'case', ('for', 'IN')), (('food', 'NN'), 'det', ('the', 'DT'))];view prices is for the food;view for the for
96;positive;DRINKS#QUALITY;drinks;62:68;The food is good, especially their more basic dishes, and the drinks are delicious.;food good especially basic dishes drinks delicious;[(('good', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('The', 'DT')), (('good', 'JJ'), 'cop', ('is', 'VBZ')), (('good', 'JJ'), 'advmod', ('especially', 'RB')), (('good', 'JJ'), 'ccomp', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('dishes', 'NNS')), (('dishes', 'NNS'), 'nmod:poss', ('their', 'PRP$')), (('dishes', 'NNS'), 'amod', ('more', 'JJR')), (('dishes', 'NNS'), 'amod', ('basic', 'JJ')), (('dishes', 'NNS'), 'cc', ('and', 'CC')), (('dishes', 'NNS'), 'conj', ('drinks', 'NNS')), (('drinks', 'NNS'), 'det', ('the', 'DT')), (('delicious', 'JJ'), 'cop', ('are', 'VBP'))];drinks dishes the;drinks are the
97;negative;FOOD#QUALITY;menu;51:55;I expected quite a bit more from such an expensive menu.;expected quite bit expensive menu;[(('expected', 'VBN'), 'nsubj', ('I', 'PRP')), (('expected', 'VBN'), 'nmod', ('menu', 'NN')), (('menu', 'NN'), 'advmod', ('more', 'RBR')), (('more', 'RBR'), 'nmod:npmod', ('bit', 'NN')), (('bit', 'NN'), 'advmod', ('quite', 'RB')), (('bit', 'NN'), 'det', ('a', 'DT')), (('menu', 'NN'), 'case', ('from', 'IN')), (('menu', 'NN'), 'det:predet', ('such', 'PDT')), (('menu', 'NN'), 'det', ('an', 'DT')), (('menu', 'NN'), 'amod', ('expensive', 'JJ'))];menu expected more from such an expensive;menu from such an expensive
98;negative;SERVICE#GENERAL;waiter;42:48;We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka.;also asked hooka six times waiter kept telling us one minute never returning hooka;[(('asked', 'VBD'), 'nsubj', ('We', 'PRP')), (('asked', 'VBD'), 'advmod', ('also', 'RB')), (('asked', 'VBD'), 'nmod', ('Hooka', 'NNP')), (('Hooka', 'NNP'), 'case', ('for', 'IN')), (('asked', 'VBD'), 'dobj', ('times', 'NNS')), (('times', 'NNS'), 'nummod', ('six', 'CD')), (('asked', 'VBD'), 'cc', ('and', 'CC')), (('asked', 'VBD'), 'conj', ('kept', 'VBD')), (('kept', 'VBD'), 'nsubj', ('waiter', 'NN')), (('waiter', 'NN'), 'det', ('the', 'DT')), (('kept', 'VBD'), 'ccomp', ('telling', 'VBG')), (('telling', 'VBG'), 'iobj', ('us', 'PRP')), (('telling', 'VBG'), 'dobj', ('minute', 'NN')), (('minute', 'NN'), 'nummod', ('one', 'CD')), (('telling', 'VBG'), 'cc', ('and', 'CC')), (('telling', 'VBG'), 'conj', ('returning', 'VBG')), (('returning', 'VBG'), 'neg', ('never', 'RB')), (('returning', 'VBG'), 'nmod', ('Hooka', 'NNP')), (('Hooka', 'NNP'), 'case', ('with', 'IN')), (('Hooka', 'NNP'), 'det', ('the', 'DT'))];waiter kept the;waiter kept the
99;positive;FOOD#QUALITY;food;100:104;We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.;went lunch couple weeks ago saturday thoroughly impressed food;[(('went', 'VBD'), 'nsubj', ('We', 'PRP')), (('went', 'VBD'), 'advmod', ('here', 'RB')), (('here', 'RB'), 'nmod', ('lunch', 'NN')), (('lunch', 'NN'), 'case', ('for', 'IN')), (('went', 'VBD'), 'dobj', ('couple', 'NN')), (('couple', 'NN'), 'det', ('a', 'DT')), (('couple', 'NN'), 'nmod', ('weeks', 'NNS')), (('weeks', 'NNS'), 'case', ('of', 'IN')), (('went', 'VBD'), 'advmod', ('ago', 'RB')), (('ago', 'RB'), 'nmod', ('Saturday', 'NNP')), (('Saturday', 'NNP'), 'case', ('on', 'IN')), (('Saturday', 'NNP'), 'det', ('a', 'DT')), (('Saturday', 'NNP'), 'cc', ('and', 'CC')), (('Saturday', 'NNP'), 'conj', ('impressed', 'VBN')), (('impressed', 'VBN'), 'nsubjpass', ('I', 'PRP')), (('impressed', 'VBN'), 'auxpass', ('was', 'VBD')), (('impressed', 'VBN'), 'advmod', ('thoroughly', 'RB')), (('impressed', 'VBN'), 'nmod', ('food', 'NN')), (('food', 'NN'), 'case', ('with', 'IN')), (('food', 'NN'), 'det', ('the', 'DT'))];food impressed with the;food with the
100;positive;FOOD#QUALITY;pork souvlaki;13:26;But the best pork souvlaki I ever had is the main thing.;but best pork souvlaki ever main thing;[(('souvlaki', 'VBD'), 'cc', ('But', 'CC')), (('souvlaki', 'VBD'), 'nsubj', ('pork', 'NN')), (('pork', 'NN'), 'det', ('the', 'DT')), (('pork', 'NN'), 'amod', ('best', 'JJS')), (('souvlaki', 'VBD'), 'ccomp', ('thing', 'NN')), (('thing', 'NN'), 'nsubj', ('I', 'PRP')), (('thing', 'NN'), 'advmod', ('ever', 'RB')), (('thing', 'NN'), 'aux', ('had', 'VBD')), (('thing', 'NN'), 'cop', ('is', 'VBZ')), (('thing', 'NN'), 'det', ('the', 'DT')), (('thing', 'NN'), 'amod', ('main', 'JJ'))];pork souvlaki the best souvlaki but pork thing;pork souvlaki the best souvlaki is pork had
101;positive;RESTAURANT#GENERAL;fresh restaurant;0:16;fresh restaurant was amazing........ food was delicious and of course fresh.;fresh restaurant amazing food delicious course fresh;[(('amazing', 'JJ'), 'nsubj', ('restaurant', 'NN')), (('restaurant', 'NN'), 'amod', ('fresh', 'JJ')), (('amazing', 'JJ'), 'cop', ('was', 'VBD')), (('amazing', 'JJ'), 'ccomp', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('food', 'NN')), (('delicious', 'JJ'), 'cop', ('was', 'VBD')), (('delicious', 'JJ'), 'cc', ('and', 'CC')), (('delicious', 'JJ'), 'conj', ('course', 'NN')), (('course', 'NN'), 'case', ('of', 'IN')), (('course', 'NN'), 'amod', ('fresh', 'JJ'))];fresh restaurant course restaurant amazing fresh;fresh restaurant restaurant was fresh fresh was
102;positive;AMBIENCE#GENERAL;Restaurant;27:37;Possibly the Most Romantic Restaurant in the City;possibly romantic restaurant city;[(('Restaurant', 'NNS'), 'dep', ('Possibly', 'RB')), (('Restaurant', 'NNS'), 'det', ('the', 'DT')), (('Restaurant', 'NNS'), 'amod', ('Most', 'JJS')), (('Restaurant', 'NNS'), 'amod', ('Romantic', 'JJ')), (('Restaurant', 'NNS'), 'nmod', ('City', 'NNP')), (('City', 'NNP'), 'case', ('in', 'IN')), (('City', 'NNP'), 'det', ('the', 'DT'))];restaurant possibly the most romantic city;restaurant restaurant possibly the most romantic in
103;positive;FOOD#QUALITY;foie gras terrine with figs;42:69;The duck confit is always amazing and the foie gras terrine with figs was out of this world.;duck confit always amazing foie gras terrine figs world;[(('amazing', 'JJ'), 'nsubj', ('confit', 'NN')), (('confit', 'NN'), 'det', ('The', 'DT')), (('confit', 'NN'), 'compound', ('duck', 'NN')), (('amazing', 'JJ'), 'cop', ('is', 'VBZ')), (('amazing', 'JJ'), 'advmod', ('always', 'RB')), (('amazing', 'JJ'), 'cc', ('and', 'CC')), (('amazing', 'JJ'), 'conj', ('world', 'NN')), (('world', 'NN'), 'nsubj', ('terrine', 'NN')), (('terrine', 'NN'), 'det', ('the', 'DT')), (('terrine', 'NN'), 'amod', ('foie', 'JJ')), (('terrine', 'NN'), 'compound', ('gras', 'NNS')), (('terrine', 'NN'), 'nmod', ('figs', 'NNS')), (('figs', 'NNS'), 'case', ('with', 'IN')), (('world', 'NN'), 'cop', ('was', 'VBD')), (('world', 'NN'), 'advmod', ('out', 'RB')), (('world', 'NN'), 'case', ('of', 'IN')), (('world', 'NN'), 'det', ('this', 'DT'))];foie terrine gras terrine terrine world the foie gras figs with figs figs terrine with;foie gras gras terrine the foie terrine was gras with with terrine figs figs with
104;positive;RESTAURANT#MISCELLANEOUS;establishment;53:66;An awesome organic dog, and a conscious eco friendly establishment.;awesome organic dog conscious eco friendly establishment;[(('dog', 'NN'), 'det', ('An', 'DT')), (('dog', 'NN'), 'amod', ('awesome', 'JJ')), (('dog', 'NN'), 'amod', ('organic', 'JJ')), (('dog', 'NN'), 'cc', ('and', 'CC')), (('dog', 'NN'), 'conj', ('eco', 'NN')), (('eco', 'NN'), 'det', ('a', 'DT')), (('eco', 'NN'), 'amod', ('conscious', 'JJ')), (('dog', 'NN'), 'dep', ('establishment', 'NN')), (('establishment', 'NN'), 'amod', ('friendly', 'JJ'))];establishment dog friendly;establishment dog a conscious eco friendly
105;neutral;FOOD#QUALITY;Food;0:4;Food was very good, but not what I would consider out of this world.;food good but not would consider world;[(('good', 'JJ'), 'nsubj', ('Food', 'NNP')), (('good', 'JJ'), 'cop', ('was', 'VBD')), (('good', 'JJ'), 'advmod', ('very', 'RB')), (('good', 'JJ'), 'ccomp', ('consider', 'VB')), (('consider', 'VB'), 'neg', ('not', 'RB')), (('not', 'RB'), 'advmod', ('but', 'RB')), (('consider', 'VB'), 'dobj', ('what', 'WP')), (('consider', 'VB'), 'nsubj', ('I', 'PRP')), (('consider', 'VB'), 'aux', ('would', 'MD')), (('consider', 'VB'), 'compound:prt', ('out', 'RP')), (('consider', 'VB'), 'nmod', ('world', 'NN')), (('world', 'NN'), 'case', ('of', 'IN')), (('world', 'NN'), 'det', ('this', 'DT'))];food good;food was
106;positive;FOOD#QUALITY;food;74:78;This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.;frist time cafe st bart must say delicous food service;[(('This', 'DT'), 'acl:relcl', ('time', 'NN')), (('time', 'NN'), 'cop', ('was', 'VBD')), (('time', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('time', 'NN'), 'amod', ('frist', 'JJ')), (('time', 'NN'), 'nmod', ('Bart', 'NNP')), (('Bart', 'NNP'), 'case', ('at', 'IN')), (('Bart', 'NNP'), 'compound', ('Cafe', 'NNP')), (('Bart', 'NNP'), 'compound', ('St', 'NNP')), (('Bart', 'NNP'), 'acl:relcl', ('say', 'VB')), (('say', 'VB'), 'nsubj', ('s', 'PRP')), (('s', 'PRP'), 'cc', ('and', 'CC')), (('s', 'PRP'), 'conj', ('I', 'PRP')), (('say', 'VB'), 'aux', ('must', 'MD')), (('say', 'VB'), 'ccomp', ('delicous', 'VBZ')), (('delicous', 'VBZ'), 'advmod', ('how', 'WRB')), (('delicous', 'VBZ'), 'dobj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('food', 'NN'), 'cc', ('and', 'CC')), (('food', 'NN'), 'conj', ('service', 'NN')), (('service', 'NN'), 'det', ('the', 'DT')), (('This', 'DT'), 'dep', ('was', 'VBD'))];food delicous the and service;food delicous the and service
107;positive;AMBIENCE#GENERAL;feel;28:32;"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.";restaurant family feel not least regard portions enormous veal alone could single handedly solved third world famine;[(('has', 'VBZ'), 'nsubj', ('restaurant', 'NN')), (('restaurant', 'NN'), 'det', ('The', 'DT')), (('has', 'VBZ'), 'ccomp', ('feel', 'VB')), (('feel', 'VB'), 'nsubj', ('Family', 'NNP')), (('Family', 'NNP'), 'det', ('a', 'DT')), (('feel', 'VB'), 'neg', ('not', 'RB')), (('feel', 'VB'), 'advmod', ('least', 'JJS')), (('feel', 'VB'), 'nmod', ('regard', 'NN')), (('regard', 'NN'), 'case', ('with', 'IN')), (('regard', 'NN'), 'nmod', ('portions', 'NNS')), (('portions', 'NNS'), 'case', ('to', 'TO')), (('portions', 'NNS'), 'det', ('the', 'DT')), (('portions', 'NNS'), 'acl:relcl', ('enormous', 'JJ')), (('enormous', 'JJ'), 'nsubj', ('which', 'WDT')), (('enormous', 'JJ'), 'cop', ('are', 'VBP')), (('enormous', 'JJ'), 'ccomp', ('have', 'VB')), (('have', 'VB'), 'nsubj', ('veal', 'NN')), (('veal', 'NN'), 'det', ('the', 'DT')), (('have', 'VB'), 'advmod', ('alone', 'RB')), (('have', 'VB'), 'aux', ('could', 'MD')), (('have', 'VB'), 'dobj', ('handedly', 'NN')), (('handedly', 'NN'), 'amod', ('single', 'JJ')), (('handedly', 'NN'), 'acl', ('solved', 'VBN')), (('solved', 'VBN'), 'dobj', ('famine', 'NN')), (('famine', 'NN'), 'amod', ('third', 'JJ')), (('famine', 'NN'), 'compound', ('world', 'NN'))];feel has family not least regard;feel has family with
108;negative;SERVICE#GENERAL;manager;17:24;After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.;dinner manager grabbed boyfriend asked maybe dont know things work america end stormed away almost teareyed yelling tips thing survive;[(('grabbed', 'VBD'), 'nmod', ('dinner', 'NN')), (('dinner', 'NN'), 'case', ('After', 'IN')), (('grabbed', 'VBD'), 'nsubj', ('manager', 'NN')), (('manager', 'NN'), 'det', ('the', 'DT')), (('grabbed', 'VBD'), 'ccomp', ('asked', 'VBD')), (('asked', 'VBD'), 'nsubj', ('boyfriend', 'NN')), (('boyfriend', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('asked', 'VBD'), 'dobj', ('him', 'PRP')), (('asked', 'VBD'), 'advcl', ('you', 'PRP')), (('you', 'PRP'), 'advmod', ('Where', 'WRB')), (('you', 'PRP'), 'cop', ('are', 'VBP')), (('you', 'PRP'), 'advcl', ('dont', 'VBP')), (('dont', 'VBP'), 'mark', ('from', 'IN')), (('dont', 'VBP'), 'advmod', ('maybe', 'RB')), (('dont', 'VBP'), 'nsubj', ('you', 'PRP')), (('dont', 'VBP'), 'xcomp', ('know', 'VB')), (('know', 'VB'), 'ccomp', ('work', 'VBP')), (('work', 'VBP'), 'advmod', ('how', 'WRB')), (('work', 'VBP'), 'nsubj', ('things', 'NNS')), (('work', 'VBP'), 'nmod', ('America', 'NNP')), (('America', 'NNP'), 'case', ('in', 'IN')), (('dont', 'VBP'), 'cc', ('and', 'CC')), (('dont', 'VBP'), 'conj', ('survive', 'VBP')), (('survive', 'VBP'), 'nmod', ('stormed', 'NN')), (('stormed', 'NN'), 'case', ('in', 'IN')), (('stormed', 'NN'), 'det', ('the', 'DT')), (('stormed', 'NN'), 'compound', ('end', 'NN')), (('stormed', 'NN'), 'acl', ('teareyed', 'VBN')), (('teareyed', 'VBN'), 'advmod', ('almost', 'RB')), (('almost', 'RB'), 'advmod', ('away', 'RB')), (('teareyed', 'VBN'), 'xcomp', ('yelling', 'VBG')), (('yelling', 'VBG'), 'ccomp', ('thing', 'NN')), (('thing', 'NN'), 'mark', ('that', 'IN')), (('thing', 'NN'), 'nsubj', ('tips', 'NNS')), (('thing', 'NN'), 'cop', ('are', 'VBP')), (('thing', 'NN'), 'det', ('the', 'DT')), (('thing', 'NN'), 'amod', ('only', 'JJ')), (('survive', 'VBP'), 'nsubj', ('they', 'PRP')), (('survive', 'VBP'), 'compound:prt', ('on', 'RP'))];manager grabbed the;manager grabbed the
109;negative;SERVICE#GENERAL;hostess;4:11;The hostess and the waitress were incredibly rude and did everything they could to rush us out.;hostess waitress incredibly rude everything could rush us;[(('rude', 'JJ'), 'nsubj', ('hostess', 'NNS')), (('hostess', 'NNS'), 'det', ('The', 'DT')), (('hostess', 'NNS'), 'cc', ('and', 'CC')), (('hostess', 'NNS'), 'conj', ('waitress', 'NN')), (('waitress', 'NN'), 'det', ('the', 'DT')), (('rude', 'JJ'), 'cop', ('were', 'VBD')), (('rude', 'JJ'), 'advmod', ('incredibly', 'RB')), (('rude', 'JJ'), 'cc', ('and', 'CC')), (('rude', 'JJ'), 'conj', ('did', 'VBD')), (('did', 'VBD'), 'dobj', ('everything', 'NN')), (('did', 'VBD'), 'dep', ('could', 'MD')), (('could', 'MD'), 'nsubj', ('they', 'PRP')), (('could', 'MD'), 'xcomp', ('rush', 'VB')), (('rush', 'VB'), 'mark', ('to', 'TO')), (('rush', 'VB'), 'dobj', ('us', 'PRP')), (('rush', 'VB'), 'compound:prt', ('out', 'RP'))];hostess rude the and waitress;hostess were the and waitress
110;positive;FOOD#QUALITY;jelly fish;16:26;I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.;recommend jelly fish drunken chicken soupy dumplings certainly stir fry blue crab;[(('recommend', 'VBP'), 'nsubj', ('I', 'PRP')), (('recommend', 'VBP'), 'dobj', ('chicken', 'NN')), (('chicken', 'NN'), 'det', ('the', 'DT')), (('chicken', 'NN'), 'amod', ('jelly', 'JJ')), (('chicken', 'NN'), 'compound', ('fish', 'NN')), (('chicken', 'NN'), 'compound', ('drunken', 'NN')), (('chicken', 'NN'), 'cc', ('and', 'CC')), (('chicken', 'NN'), 'advmod', ('certainly', 'RB')), (('certainly', 'RB'), 'nmod:npmod', ('dumplings', 'NNS')), (('dumplings', 'NNS'), 'det', ('the', 'DT')), (('dumplings', 'NNS'), 'amod', ('soupy', 'JJ')), (('chicken', 'NN'), 'conj', ('crab', 'NN')), (('crab', 'NN'), 'det', ('the', 'DT')), (('crab', 'NN'), 'amod', ('stir', 'JJ')), (('crab', 'NN'), 'compound', ('fry', 'NN')), (('crab', 'NN'), 'compound', ('blue', 'NN'))];jelly chicken fish chicken;jelly chicken fish chicken
111;positive;FOOD#PRICES;spicy Tuna roll;4:19;The spicy Tuna roll is huge and probably the best that I've had at this price range.;spicy tuna roll huge probably best price range;[(('huge', 'JJ'), 'nsubj', ('roll', 'NN')), (('roll', 'NN'), 'det', ('The', 'DT')), (('roll', 'NN'), 'amod', ('spicy', 'JJ')), (('roll', 'NN'), 'compound', ('Tuna', 'NNP')), (('huge', 'JJ'), 'cop', ('is', 'VBZ')), (('huge', 'JJ'), 'cc', ('and', 'CC')), (('huge', 'JJ'), 'advmod', ('probably', 'RB')), (('huge', 'JJ'), 'conj', ('best', 'JJS')), (('best', 'JJS'), 'det', ('the', 'DT')), (('huge', 'JJ'), 'ccomp', ('had', 'VBD')), (('had', 'VBD'), 'mark', ('that', 'IN')), (('had', 'VBD'), 'nsubj', ('I', 'PRP')), (('had', 'VBD'), 'advmod', ('ve', 'RB')), (('had', 'VBD'), 'nmod', ('range', 'NN')), (('range', 'NN'), 'case', ('at', 'IN')), (('range', 'NN'), 'det', ('this', 'DT')), (('range', 'NN'), 'compound', ('price', 'NN'))];spicy roll tuna roll roll huge the spicy tuna;spicy roll tuna roll roll is the spicy tuna
112;positive;SERVICE#GENERAL;people;4:10;The people that work there are always so friendly you forget you are in New York sometimes.;people work always friendly forget new york sometimes;[(('are', 'VBP'), 'nsubj', ('people', 'NNS')), (('people', 'NNS'), 'det', ('The', 'DT')), (('people', 'NNS'), 'acl:relcl', ('work', 'VBP')), (('work', 'VBP'), 'nsubj', ('that', 'WDT')), (('work', 'VBP'), 'ccomp', ('are', 'VBP')), (('are', 'VBP'), 'expl', ('there', 'EX')), (('are', 'VBP'), 'advmod', ('always', 'RB')), (('are', 'VBP'), 'xcomp', ('friendly', 'JJ')), (('friendly', 'JJ'), 'advmod', ('so', 'RB')), (('friendly', 'JJ'), 'ccomp', ('forget', 'VB')), (('forget', 'VB'), 'nsubj', ('you', 'PRP')), (('forget', 'VB'), 'dobj', ('you', 'PRP')), (('are', 'VBP'), 'nmod', ('York', 'NNP')), (('York', 'NNP'), 'case', ('in', 'IN')), (('York', 'NNP'), 'compound', ('New', 'NNP')), (('are', 'VBP'), 'advmod', ('sometimes', 'RB'))];people are the work;people are the work
113;positive;SERVICE#GENERAL;service;31:38;Great food, great decor, great service.;great food great decor great service;[(('food', 'NN'), 'amod', ('Great', 'JJ')), (('food', 'NN'), 'dep', ('decor', 'NN')), (('decor', 'NN'), 'amod', ('great', 'JJ')), (('food', 'NN'), 'dep', ('service', 'NN')), (('service', 'NN'), 'amod', ('great', 'JJ'))];service food great;service decor great
114;positive;SERVICE#GENERAL;Service;0:7;Service- friendly and attentive.;service friendly attentive;[(('Service', 'NNP'), 'amod', ('friendly', 'JJ')), (('friendly', 'JJ'), 'cc', ('and', 'CC')), (('friendly', 'JJ'), 'conj', ('attentive', 'JJ'))];service friendly;service service friendly
115;positive;FOOD#QUALITY;food;68:72;This is my first time writing a review for a restaurant because the food and service was excellent.;first time writing review restaurant food service excellent;[(('time', 'NN'), 'nsubj', ('This', 'DT')), (('time', 'NN'), 'cop', ('is', 'VBZ')), (('time', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('time', 'NN'), 'amod', ('first', 'JJ')), (('time', 'NN'), 'acl', ('writing', 'VBG')), (('writing', 'VBG'), 'dobj', ('review', 'NN')), (('review', 'NN'), 'det', ('a', 'DT')), (('review', 'NN'), 'nmod', ('restaurant', 'NN')), (('restaurant', 'NN'), 'case', ('for', 'IN')), (('restaurant', 'NN'), 'det', ('a', 'DT')), (('writing', 'VBG'), 'advcl', ('excellent', 'JJ')), (('excellent', 'JJ'), 'mark', ('because', 'IN')), (('excellent', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('food', 'NN'), 'cc', ('and', 'CC')), (('food', 'NN'), 'conj', ('service', 'NN')), (('excellent', 'JJ'), 'cop', ('was', 'VBD'))];food excellent the and service;food was the and service
116;positive;AMBIENCE#GENERAL;place;70:75;The staff was accomodating, the food was absolutely delicious and the place is lovely.;staff accomodating food absolutely delicious place lovely;[(('accomodating', 'VBG'), 'nsubj', ('staff', 'NN')), (('staff', 'NN'), 'det', ('The', 'DT')), (('accomodating', 'VBG'), 'aux', ('was', 'VBD')), (('accomodating', 'VBG'), 'xcomp', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('delicious', 'JJ'), 'cop', ('was', 'VBD')), (('delicious', 'JJ'), 'advmod', ('absolutely', 'RB')), (('delicious', 'JJ'), 'cc', ('and', 'CC')), (('delicious', 'JJ'), 'conj', ('lovely', 'JJ')), (('lovely', 'JJ'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('the', 'DT')), (('lovely', 'JJ'), 'cop', ('is', 'VBZ'))];place lovely the;place is the
117;positive;RESTAURANT#GENERAL;Leon;0:4;Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.;leon east village gem casual but hip well prepared basic french bistro fare good specials warm lively atmosphere;[(('gem', 'NN'), 'nsubj', ('Leon', 'NNP')), (('gem', 'NN'), 'cop', ('is', 'VBZ')), (('gem', 'NN'), 'det', ('an', 'DT')), (('gem', 'NN'), 'compound', ('East', 'NNP')), (('gem', 'NN'), 'compound', ('Village', 'NNP')), (('gem', 'NN'), 'acl:relcl', ('fare', 'VBP')), (('fare', 'VBP'), 'nsubj', ('casual', 'JJ')), (('casual', 'JJ'), 'nmod', ('hip', 'NN')), (('hip', 'NN'), 'case', ('but', 'CC')), (('hip', 'NN'), 'nmod', ('bistro', 'NN')), (('bistro', 'NN'), 'case', ('with', 'IN')), (('bistro', 'NN'), 'amod', ('prepared', 'JJ')), (('prepared', 'JJ'), 'advmod', ('well', 'RB')), (('bistro', 'NN'), 'amod', ('basic', 'JJ')), (('bistro', 'NN'), 'amod', ('French', 'JJ')), (('fare', 'VBP'), 'dobj', ('specials', 'NNS')), (('specials', 'NNS'), 'amod', ('good', 'JJ')), (('specials', 'NNS'), 'dep', ('atmosphere', 'NN')), (('atmosphere', 'NN'), 'det', ('a', 'DT')), (('atmosphere', 'NN'), 'amod', ('warm', 'JJ')), (('warm', 'JJ'), 'cc', ('and', 'CC')), (('warm', 'JJ'), 'conj', ('lively', 'JJ'))];leon gem;leon is
118;positive;SERVICE#GENERAL;service;20:27;Great food, amazing service, this place is a class act.;great food amazing service place class act;[(('act', 'NN'), 'nsubj', ('service', 'NN')), (('service', 'NN'), 'compound', ('Great', 'NNP')), (('service', 'NN'), 'compound', ('food', 'NN')), (('service', 'NN'), 'amod', ('amazing', 'JJ')), (('service', 'NN'), 'dep', ('place', 'NN')), (('place', 'NN'), 'det', ('this', 'DT')), (('act', 'NN'), 'cop', ('is', 'VBZ')), (('act', 'NN'), 'det', ('a', 'DT')), (('act', 'NN'), 'compound', ('class', 'NN'))];service act great food amazing place;service is great food amazing
119;negative;FOOD#QUALITY;food;4:8;The food was lousy - too sweet or too salty and the portions tiny.;food lousy sweet salty portions tiny;[(('sweet', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('The', 'DT')), (('sweet', 'JJ'), 'cop', ('was', 'VBD')), (('sweet', 'JJ'), 'advmod', ('lousy', 'RB')), (('sweet', 'JJ'), 'advmod', ('too', 'RB')), (('sweet', 'JJ'), 'cc', ('or', 'CC')), (('sweet', 'JJ'), 'conj', ('salty', 'JJ')), (('salty', 'JJ'), 'advmod', ('too', 'RB')), (('sweet', 'JJ'), 'cc', ('and', 'CC')), (('sweet', 'JJ'), 'conj', ('tiny', 'JJ')), (('tiny', 'JJ'), 'nmod:npmod', ('portions', 'NNS')), (('portions', 'NNS'), 'det', ('the', 'DT'))];food sweet the;food was the
120;positive;RESTAURANT#GENERAL;place;5:10;This place is a must visit!;place must visit;[(('a', 'SYM'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('This', 'DT')), (('a', 'SYM'), 'cop', ('is', 'VBZ')), (('a', 'SYM'), 'acl:relcl', ('visit', 'VB')), (('visit', 'VB'), 'aux', ('must', 'MD'))];place a this;place is this
121;positive;FOOD#QUALITY;Caesar Salad;20:32;Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.;enjoyed nice caesar salad wife arugula goat cheese tasty;[(('Enjoyed', 'VB'), 'dobj', ('Salad', 'NNP')), (('Salad', 'NNP'), 'det', ('a', 'DT')), (('Salad', 'NNP'), 'amod', ('nice', 'JJ')), (('nice', 'JJ'), 'advmod', ('very', 'RB')), (('Salad', 'NNP'), 'compound', ('Caesar', 'NNP')), (('Salad', 'NNP'), 'acl:relcl', ('had', 'VBD')), (('had', 'VBD'), 'mark', ('while', 'IN')), (('had', 'VBD'), 'nsubj', ('wife', 'NN')), (('wife', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('had', 'VBD'), 'xcomp', ('tasty', 'JJ')), (('tasty', 'JJ'), 'nsubj', ('cheese', 'NN')), (('cheese', 'NN'), 'compound', ('arugula', 'NN')), (('arugula', 'NN'), 'cc', ('and', 'CC')), (('arugula', 'NN'), 'conj', ('goat', 'NN')), (('tasty', 'JJ'), 'det', ('both', 'DT')), (('tasty', 'JJ'), 'advmod', ('very', 'RB'))];caesar salad salad enjoyed a nice caesar had;caesar salad salad enjoyed a nice caesar
